id	name	content	dialogueType	flagType	nextList	affectValue	extraFavorEffectList
1059	小维	停。	STANDARD	NONE	1060	0	*
1060	小维	叫小维就好。	STANDARD	NONE	1061	0	*
1061	小维	二楼。	STANDARD	END	0	0	*
1062	阿莉	你好，新面孔呢。	STANDARD	BEGIN	1063	0	*
1063	阿莉	自我介绍一下，阿莉叫阿莉的说。	STANDARD	NONE	1064	0	*
1064	阿莉	阿莉要回九楼。	STANDARD	NONE	1065	0	*
1065	阿莉	对的，是回，不是去。	STANDARD	NONE	1066	0	*
1066	阿莉	管理员说，住户要“回”登记楼层。	STANDARD	NONE	1067	0	*
1067	阿莉	可是有的住户说，是“去”。	STANDARD	NONE	1068	0	*
1068	阿莉	地球语真麻烦呢，阿莉还正在学习中。	STANDARD	END	0	0	*
1069	考考	晚上好。	STANDARD	BEGIN	1070	0	*
1070	考考	今天也辛苦啦。	STANDARD	NONE	1071	0	*
1071	考考	昨天的面包还合胃口吗？	STANDARD	NONE	1072	0	*
1072	考考	啊，如果你没吃，不用勉强。	STANDARD	NONE	1073	0	*
1073	考考	最近大家好像都很忧郁呢。	STANDARD	NONE	1074	0	*
1074	考考	是因为天气吧。	STANDARD	NONE	1075	0	*
1075	考考	你可以转交给那拉。	STANDARD	NONE	1076	0	*
1076	考考	她嘴上说自己不饿，但她经常把吃的先分给楼下的猫。	STANDARD	NONE	1077	0	*
1077	考考	猫粮买最大袋，自己的晚饭买最小份。	STANDARD	NONE	1078	0	*
1078	考考	这样不太好。	STANDARD	NONE	1079	0	*
1079	考考	但是和她说，她会说我多管闲事。	STANDARD	NONE	1080	0	*
1080	考考	不过她说的时候一般在嚼东西，所以我就当她没有反对。	STANDARD	NONE	1081;1082	0	*
1081	玩家	我会转交给她。（那拉好感+，触发第三天那拉对话）	SELECT	NONE	1083	0	*
1082	玩家	我不能替住户传东西。	SELECT	NONE	1087	0	*
1083	考考	谢谢你。	STANDARD	NONE	1084	0	*
1084	考考	如果她问是谁给的，你就说……	STANDARD	NONE	1085	0	*
1085	考考	说是面包自己想去六楼。	STANDARD	NONE	1086	0	*
1086	考考	这样听起来比较像她能接受的理由。	STANDARD	END	0	0	*
1087	考考	啊……也是。	STANDARD	NONE	1088	0	*
1088	考考	你有你的规定。	STANDARD	NONE	1089	0	*
1089	考考	那我先放在这里。	STANDARD	NONE	1090	0	*
1090	考考	如果它之后刚好被谁拿走了，应该就不算你传的吧？	STANDARD	NONE	1091	0	*
1091	考考	对不起，我是不是在为难你。	STANDARD	NONE	1092	0	*
1092	考考	没关系，当我没说。	STANDARD	END	0	0	*
1093	小维	你好，二楼。	STANDARD	END	0	0	*
1094	小维	你好，二楼。	STANDARD	BEGIN	1095;1096	0	*
1095	玩家	小维晚上好	SELECT	NONE	1097	0	*
1096	玩家	玛格丽特·伽拉忒...	SELECT	NONE	1105	0	*
1097	小维	你记住了我的名字？	STANDARD	NONE	1098	0	*
1098	小维	全名是给人观赏的。	STANDARD	NONE	1099	0	*
1099	小维	小维这个名字是给朋友叫的。	STANDARD	NONE	1100	0	*
1100	小维	你看着我贝壳上的展览牌。	STANDARD	NONE	1101	0	*
1101	小维	我站在上面。	STANDARD	NONE	1102	0	*
1102	小维	有时候会觉得，它写的是我。	STANDARD	NONE	1103	0	*
1103	小维	有时候又觉得，不是我。	STANDARD	NONE	1104	0	*
1104	小维	总之你先送我回去吧。	STANDARD	END	0	0	*
1105	小维	停。	STANDARD	NONE	1106	0	*
1106	小维	昨天说过。	STANDARD	NONE	1107	0	*
1107	小维	二楼。	STANDARD	END	0	0	*
1108	来福	欸？汝是新來的，毋？	STANDARD	BEGIN	1109	0	*
1109	来福	哇，真正好！今暝電梯換新人，有新朋友佇遮。	STANDARD	NONE	1110	0	*
1110	来福	我跟你講，這棟樓其實無彼恐怖，大家攏真好相處。	STANDARD	NONE	1111	0	*
1111	来福	頂樓若有咚咚咚，毋通驚，是我咧練鼓，毋是地動啦。	STANDARD	NONE	1112	0	*
1112	来福	啊對，五樓。五樓送我上去，拜託拜託。	STANDARD	NONE	1113;1114	0	*
1113	玩家	……你刚刚说什么？	SELECT	NONE	1115	0	*
1114	玩家	你的意思是去五楼吗？	SELECT	NONE	1122	0	*
1115	来福	啊！歹勢歹勢！	STANDARD	NONE	1116	0	*
1116	来福	我忘记你可能听不懂诶。	STANDARD	NONE	1117	0	*
1117	来福	我说，你是新来的吧？太好了。	STANDARD	NONE	1118	0	*
1118	来福	然后，楼上如果有咚咚咚的声音。	STANDARD	NONE	1119	0	*
1119	来福	不要怕。那不是地震，是我练鼓哦。	STANDARD	NONE	1120	0	*
1120	来福	我叫来福，住五楼喔。	STANDARD	NONE	1121	0	*
1121	来福	五楼，走咯！	STANDARD	END	0	0	*
1122	来福	啊！歹勢歹勢！	STANDARD	NONE	1123	0	*
1123	来福	我忘记你可能听不懂诶。	STANDARD	NONE	1124	0	*
1124	来福	哇，你听不懂也能抓重点欸，很聪明喔。	STANDARD	NONE	1125	0	*
1125	来福	我说，你是新来的吧？太好了。	STANDARD	NONE	1126	0	*
1126	来福	然后，楼上如果有咚咚咚的声音，不要怕。那不是地震，是我练鼓哦。	STANDARD	NONE	1127	0	*
1127	来福	我叫来福，是去五楼。	STANDARD	NONE	1128	0	*
1128	来福	五楼，走咯！	STANDARD	END	0	0	*
1129	小比	十一楼。	STANDARD	BEGIN	1130	0	*
1130	小比	第二天的故障通知，你应该已经看过了。	STANDARD	NONE	1131	0	*
1131	小比	偶数楼层不能直接按。	STANDARD	NONE	1132	0	*
1132	小比	不过我不是偶数楼层，所以这次比较简单。	STANDARD	NONE	1133	0	*
1133	小比	十一楼，确认，关门。	STANDARD	NONE	1134;1135	0	*
1134	玩家	第二天？	SELECT	NONE	1136	0	*
1135	玩家	你怎么比我还清楚？	SELECT	NONE	1140	0	*
1136	小比	嗯？我说了什么吗？	STANDARD	NONE	1137	0	*
1137	小比	哦，你是昨天来的，所以今天是你来的第二天。	STANDARD	NONE	1138	0	*
1138	小比	不是吗？	STANDARD	NONE	1139	0	*
1139	小比	好了，你应该送我上去了。	STANDARD	END	0	0	*
1140	小比	嗯？我说了什么吗？	STANDARD	NONE	1141	0	*
1141	小比	好了，你应该送我上去了。	STANDARD	END	0	0	*
1142	小淼	四楼。	STANDARD	BEGIN	1143	0	*
1143	小淼	听说今天不能按四楼，要按三楼和一楼。	STANDARD	NONE	1144	0	*
1144	小淼	像把一块饼干掰成两半，再假装它还是一块。	STANDARD	NONE	1145	0	*
1145	小淼	小朋友应该会接受，老人家也能理解。	STANDARD	NONE	1146	0	*
1146	小淼	夹在中间的人反而不知所措。	STANDARD	NONE	1147	0	*
1147	小淼	我今天画的故事里，也有一个奇怪的问题。	STANDARD	NONE	1148	0	*
1148	小淼	小蝴蝶出生在月亮上。	STANDARD	NONE	1149	0	*
1149	小淼	但大家都说她应该一起回到星星里。	STANDARD	NONE	1150	0	*
1150	小淼	她问：星星有床吗？	STANDARD	NONE	1151	0	*
1151	小淼	我还没想好故事的结局。	STANDARD	NONE	1152;1153	0	*
1152	玩家	听起来像梦	SELECT	NONE	1154	0	*
1153	玩家	听起来像现实	SELECT	NONE	1164	0	*
1154	小淼	即使在月亮上每天好好安睡，直到生命的尽头。	STANDARD	NONE	1155	0	*
1155	小淼	她会后悔没有去过星星看一眼吗。	STANDARD	NONE	1156	0	*
1156	小淼	她留着星星的血液。	STANDARD	NONE	1157	0	*
1157	小淼	基因承载着星星数亿年的新陈代谢。	STANDARD	NONE	1158	0	*
1158	小淼	但她读的书是月亮的书。	STANDARD	NONE	1159	0	*
1159	小淼	听的是月球的歌。	STANDARD	NONE	1160	0	*
1160	小淼	讲着月球上的语言。	STANDARD	NONE	1161	0	*
1161	小淼	她的一切记忆、体验都罗织在月球的土地上。	STANDARD	NONE	1162	0	*
1162	小淼	我不知道。	STANDARD	NONE	1163	0	*
1163	小淼	不过我们先上楼吧，你还记得我住几楼吗？	STANDARD	END	0	0	*
1164	小淼	不过现实中的星星和月亮可没有任何生物呢。	STANDARD	NONE	1165	0	*
1165	小淼	毕竟还是故事啦。	STANDARD	NONE	1166	0	*
1166	小淼	我们先上楼吧，你还记得我住几楼吗？	STANDARD	END	0	0	*
1167	柏南	今天有点吵闹。	STANDARD	BEGIN	1168	0	*
1168	柏南	来福的乐队今晚在安置区外表演。	STANDARD	NONE	1169	0	*
1169	柏南	你也听到了吧？	STANDARD	NONE	1170;1171	0	*
1170	玩家	来福很受欢迎吗？	SELECT	NONE	1179	0	*
1171	玩家	这算扰民吧？	SELECT	NONE	1172	0	*
1172	柏南	算。	STANDARD	NONE	1173	0	*
1173	柏南	他小时候也扰民。	STANDARD	NONE	1174	0	*
1174	柏南	管理员追过他三次。	STANDARD	NONE	1175	0	*
1175	柏南	每次都没追上。	STANDARD	NONE	1176	0	*
1176	柏南	特别让人头疼。	STANDARD	NONE	1177	0	*
1177	柏南	送我去五楼吧。	STANDARD	NONE	1178	0	*
1178	柏南	我给这小狗准备了个惊喜。	STANDARD	END	0	0	*
1179	柏南	他从小就这样。	STANDARD	NONE	1180	0	*
1180	柏南	门一开，就往外跑。	STANDARD	NONE	1181	0	*
1181	柏南	离开安置区，会跑到人类旁边。	STANDARD	NONE	1182	0	*
1182	柏南	问他们在玩什么。	STANDARD	NONE	1183	0	*
1183	柏南	不管对方是在下棋、修车、搬水果，	STANDARD	NONE	1184	0	*
1184	柏南	还是蹲在路边看蚂蚁搬家。	STANDARD	NONE	1185	0	*
1185	柏南	他都会凑上去和人聊天。	STANDARD	NONE	1186	0	*
1186	柏南	连它的名字都是人类给它取的。	STANDARD	NONE	1187;1188	0	*
1187	玩家	你对来福很了解吗？	SELECT	NONE	1189	0	*
1188	玩家	你连这些小事都记得？	SELECT	NONE	0	0	*
1189	柏南	我几乎是这片安置区最年长的了。	STANDARD	NONE	1190	0	*
1190	柏南	记得很多别人不知道的事。	STANDARD	NONE	1191	0	*
1191	柏南	比如以前这里以前只是一块平地。	STANDARD	NONE	1192	0	*
1192	柏南	后面为了方便管理才建起一座公寓。	STANDARD	NONE	1193	0	*
1193	柏南	但有一个地方，我却一直很模糊。	STANDARD	NONE	1194;1195	0	*
1194	玩家	什么地方？	SELECT	NONE	1199	0	*
1195	玩家	所以你要去几楼？	SELECT	NONE	1196	0	*
1196	柏南	哎，今天说多了。	STANDARD	NONE	1197	0	*
1197	柏南	送我去五楼。	STANDARD	NONE	1198	0	*
1198	柏南	我要给这个小狗一个惊喜。	STANDARD	END	0	0	*
1199	柏南	厄尔庇斯。	STANDARD	NONE	1200	0	*
1200	柏南	我们这些外星人的故乡。	STANDARD	NONE	1201	0	*
1201	柏南	我没去过。	STANDARD	NONE	1202	0	*
1202	柏南	这里的大多数住户也没去过。	STANDARD	NONE	1203	0	*
1203	柏南	听说那里和地球完全不一样。	STANDARD	NONE	1204	0	*
1204	柏南	长辈们一遍一遍讲。	STANDARD	NONE	1205	0	*
1205	柏南	讲那里的海，讲那里的岩石。	STANDARD	NONE	1206	0	*
1206	柏南	讲某种会在夜里发亮的小东西。	STANDARD	NONE	1207	0	*
1207	柏南	讲到最后，每个人都会停一下。	STANDARD	NONE	1208	0	*
1208	柏南	因为后面就不好讲了。	STANDARD	NONE	1209	0	*
1209	柏南	厄尔庇斯的所有物种逐渐长得一样。	STANDARD	NONE	1210	0	*
1210	柏南	能适应的环境越来越少。	STANDARD	NONE	1211	0	*
1211	柏南	遇到一点新的病、热、冷，	STANDARD	NONE	1212	0	*
1212	柏南	就会一起倒下。	STANDARD	NONE	1213	0	*
1213	柏南	厄尔庇斯的气候其实一切正常。	STANDARD	NONE	1214	0	*
1214	柏南	所有人都还能正常生活。	STANDARD	NONE	1215	0	*
1215	柏南	植物也还能生长。	STANDARD	NONE	1216	0	*
1216	柏南	只是每一次发芽。	STANDARD	NONE	1217	0	*
1217	柏南	都越来越像上一次。	STANDARD	NONE	1218	0	*
1218	柏南	同样的叶子，同样的病	STANDARD	NONE	1219	0	*
1219	柏南	同样熬不过去的冬天	STANDARD	NONE	1220	0	*
1220	柏南	长辈们说	STANDARD	NONE	1221	0	*
1221	柏南	生命如果没有差别	STANDARD	NONE	1222	0	*
1222	柏南	就很难有未来。	STANDARD	NONE	1223	0	*
1223	柏南	所以他们来到地球。	STANDARD	NONE	1224	0	*
1224	柏南	这就是全部的厄尔庇斯。	STANDARD	NONE	1225	0	*
1225	柏南	听完了故事，你能不能送我到五楼。	STANDARD	NONE	1226	0	*
1226	柏南	我要给来福一个惊喜。	STANDARD	END	0	0	*
1227	小维	你好，二楼	STANDARD	END	0	0	*
1228	小维	你好，二楼	STANDARD	BEGIN	1229;1230	0	*
1229	玩家	今天怎么样？	SELECT	NONE	1231	0	*
1230	玩家	好的。	SELECT	NONE	0	0	*
1231	小维	还行。	STANDARD	NONE	1232	0	*
1232	小维	今天展览馆人很多。	STANDARD	NONE	1233	0	*
1233	小维	你想问我是不是讨厌这份工作？	STANDARD	NONE	1234	0	*
1234	小维	但其实并没有。	STANDARD	NONE	1235	0	*
1235	小维	水温正常。	STANDARD	NONE	1236	0	*
1236	小维	灯有点亮。	STANDARD	NONE	1237	0	*
1237	小维	我只要在那装死人就好了。	STANDARD	NONE	1238	0	*
1238	小维	只要基本的东西都没问题。	STANDARD	NONE	1239	0	*
1239	小维	在哪都是一样的。	STANDARD	END	0	0	*
1240	那拉	先声明，今天我要去六楼。	STANDARD	BEGIN	1241	0	*
1241	那拉	这是一次非常符合档案精神的行为。	STANDARD	NONE	1242	0	*
1242	那拉	档案如果有耳朵，现在应该开始鼓掌。	STANDARD	END	0	0	*
1243	那拉	先声明，今天我要去六楼。	STANDARD	BEGIN	1244	0	*
1244	那拉	这是一次非常符合档案精神的行为。	STANDARD	NONE	1245	0	*
1245	那拉	档案如果有耳朵，现在应该开始鼓掌。	STANDARD	NONE	1246;1247	0	*
1246	玩家	这是考考给你的面包。	SELECT	NONE	1248	0	*
1247	玩家	我核对一下楼层。	SELECT	NONE	1264	0	*
1248	那拉	里面是什么？	STANDARD	NONE	1249	0	*
1249	那拉	面包？	STANDARD	NONE	1250	0	*
1250	那拉	合理。	STANDARD	NONE	1251	0	*
1251	那拉	考考解决问题的基础单位就是面包。	STANDARD	NONE	1252	0	*
1252	那拉	你知道吗？	STANDARD	NONE	1253	0	*
1253	那拉	她这种人很可怕。	STANDARD	NONE	1254	0	*
1254	那拉	随口说一句“有点冷”	STANDARD	NONE	1255	0	*
1255	那拉	明天就会出现一条围巾。	STANDARD	NONE	1256	0	*
1256	那拉	你说“最近好像有点累”，她会给你递糖。	STANDARD	NONE	1257	0	*
1257	那拉	还会假装只是刚好多买了。	STANDARD	NONE	1258	0	*
1258	那拉	所以我不能说谢谢。	STANDARD	NONE	1259	0	*
1259	那拉	我一说谢谢，她会以为这一切运行良好。	STANDARD	NONE	1260	0	*
1260	那拉	然后下次升级成豪华版。	STANDARD	NONE	1261	0	*
1261	那拉	你不用告诉她我收了。	STANDARD	NONE	1262	0	*
1262	那拉	也不用告诉她我没收。	STANDARD	NONE	1263	0	*
1263	那拉	你就说，面包目前处于一种很复杂的状态。	STANDARD	END	0	0	*
1264	那拉	请核对。	STANDARD	NONE	1265	0	*
1265	那拉	姓名，那拉。	STANDARD	NONE	1266	0	*
1266	那拉	精神状态，比较清醒。	STANDARD	NONE	1267	0	*
1267	那拉	登记楼层，六楼。	STANDARD	NONE	1268	0	*
1268	那拉	不过你手上那个袋子很可疑。	STANDARD	NONE	1269	0	*
1269	那拉	它散发着一种七楼的气味。	STANDARD	END	0	0	*
1270	来福	五楼！	STANDARD	BEGIN	1271	0	*
1271	来福	你刚刚听到没有？	STANDARD	NONE	1272	0	*
1272	来福	我们乐队刚刚再表演！	STANDARD	NONE	1273	0	*
1273	来福	楼下超热闹！	STANDARD	NONE	1274	0	*
1274	来福	我看到柏南、阿莉都来了哦！	STANDARD	NONE	1275;1276	0	*
1275	玩家	阿莉经常来看你演出吗？	SELECT	NONE	1277	0	*
1276	玩家	柏南也会听乐队？	SELECT	NONE	1290	0	*
1277	来福	会啊。	STANDARD	NONE	1278	0	*
1278	来福	不过别人来看演出，	STANDARD	NONE	1279	0	*
1279	来福	会拍手，会喊再来一首，会跟着晃。	STANDARD	NONE	1280	0	*
1280	来福	阿莉不会。	STANDARD	NONE	1281	0	*
1281	来福	阿莉只是站得很直。	STANDARD	NONE	1282	0	*
1282	来福	像一根很认真听音乐的筷子。	STANDARD	NONE	1283	0	*
1283	来福	而且她听得很认真哦。	STANDARD	NONE	1284	0	*
1284	来福	她上一次还点评了我，	STANDARD	NONE	1285	0	*
1285	来福	“节奏有很大的问题。”	STANDARD	NONE	1286	0	*
1286	来福	“你一兴奋就会加速。”	STANDARD	NONE	1287	0	*
1287	来福	“你加速以后，其他人都在追你。”	STANDARD	NONE	1288	0	*
1288	来福	我当时超感动。	STANDARD	NONE	1289	0	*
1289	来福	她听出来我在兴奋诶！	STANDARD	END	0	0	*
1290	来福	会。	STANDARD	NONE	1291	0	*
1291	来福	但他夸人很难懂。	STANDARD	NONE	1292	0	*
1292	来福	有次我问他，今天怎么样？	STANDARD	NONE	1293	0	*
1293	来福	他说，第二首像龟兔赛跑醒来的兔。	STANDARD	NONE	1294	0	*
1294	来福	我说，那是不好吗？	STANDARD	NONE	1295	0	*
1295	来福	他说，不，是它像刚睡醒去找眼镜。	STANDARD	NONE	1296	0	*
1296	来福	我想了三天。	STANDARD	NONE	1297	0	*
1297	来福	最后决定当成好评。	STANDARD	END	0	0	*
1298	小比	五楼。	STANDARD	BEGIN	1299	0	*
1299	小比	演出结束。	STANDARD	NONE	1300	0	*
1300	小比	水果摊前方遗留纸杯三个。	STANDARD	NONE	1301	0	*
1301	小比	电源线两根。	STANDARD	NONE	1302	0	*
1302	小比	鼓槌一支。	STANDARD	NONE	1303	0	*
1303	小比	我先替她捡了，等下给它。	STANDARD	NONE	1304	0	*
1304	小比	不然明天她又要说，	STANDARD	NONE	1305	0	*
1305	小比	“小比，你有没有看到一支我的可爱帅气小鼓槌？”	STANDARD	NONE	1306;1307	0	*
1306	玩家	你在帮她收拾？	SELECT	NONE	1308	0	*
1307	玩家	演出顺利吗？	SELECT	NONE	1322	0	*
1308	小比	嗯。	STANDARD	NONE	1309	0	*
1309	小比	不收不行。	STANDARD	NONE	1310	0	*
1310	小比	来福只记得开场。	STANDARD	NONE	1311	0	*
1311	小比	不记得收场。	STANDARD	NONE	1312	0	*
1312	小比	她说观众开心最重要。	STANDARD	NONE	1313	0	*
1313	小比	我说观众走了以后，	STANDARD	NONE	1314	0	*
1314	小比	地上的纸杯也很重要。	STANDARD	NONE	1315	0	*
1315	小比	纸杯会让管理员不让她下次演出。	STANDARD	NONE	1316	0	*
1316	小比	她就闭嘴了。	STANDARD	NONE	1317	0	*
1317	小比	大概三秒。	STANDARD	NONE	1318	0	*
1318	小比	所以我每次都要帮她看一眼。	STANDARD	NONE	1319	0	*
1319	小比	不是我爱管。	STANDARD	NONE	1320	0	*
1320	小比	是没人管的话，	STANDARD	NONE	1321	0	*
1321	小比	下次就没有下次了。	STANDARD	END	0	0	*
1322	小比	算顺利。	STANDARD	NONE	1323	0	*
1323	小比	来福第二首打快了。	STANDARD	NONE	1324	0	*
1324	小比	第三首又想加一段。	STANDARD	NONE	1325	0	*
1325	小比	不过大家挺开心的。	STANDARD	NONE	1326	0	*
1326	小比	卖水果的阿姨还笑了。	STANDARD	NONE	1327	0	*
1327	小比	虽然她一边笑，	STANDARD	NONE	1328	0	*
1328	小比	一边让我保证下次不要挡她摊位。	STANDARD	NONE	1329	0	*
1329	小比	我答应了。	STANDARD	NONE	1330	0	*
1330	小比	来福还不知道。	STANDARD	NONE	1331	0	*
1331	小比	等下和它说一声。	STANDARD	END	0	0	*
1332	考考	晚上好。	STANDARD	BEGIN	1333	0	*
1333	考考	我要去七层。	STANDARD	END	0	0	*
1334	考考	晚上好。	STANDARD	BEGIN	1335	0	*
1335	考考	我要去x层。	STANDARD	NONE	1336	0	*
1336	考考	哎，其实昨天店里吵了一架。	STANDARD	NONE	1337	0	*
1337	考考	老板说，剩下的面包只能留给第二天早班的人。	STANDARD	NONE	1338	0	*
1338	考考	另一个人说，面包应该给更需要的人。	STANDARD	NONE	1339	0	*
1339	考考	其实两边都有道理。	STANDARD	NONE	1340	0	*
1340	考考	只是每个人的视角不同。	STANDARD	NONE	1341;1342	0	*
1341	玩家	那只能按规定来。	SELECT	NONE	1343	0	*
1342	玩家	如果硬要选择一方呢？	SELECT	NONE	1346	0	*
1343	考考	嗯...规定也很重要。	STANDARD	NONE	1344	0	*
1344	考考	如果全按规定执行下去。	STANDARD	NONE	1345	0	*
1345	考考	至少不会出错，每个人各司其职就好。	STANDARD	END	0	0	*
1346	考考	我不擅长这种列车难题。	STANDARD	NONE	1347	0	*
1347	考考	如果大家都能好好的...就好了。	STANDARD	END	0	0	*
1348	柏南	今天抽到一张签。	STANDARD	BEGIN	1349	0	*
1349	柏南	签上写，根须离土。	STANDARD	NONE	1350	0	*
1350	柏南	我想今天还是回到八楼。	STANDARD	NONE	1351	0	*
1351	柏南	回到一切开始的地方。	STANDARD	NONE	1352;1353	0	*
1352	玩家	这是什么意思？	SELECT	NONE	1354	0	*
1353	玩家	听起来不像好签。	SELECT	NONE	1362	0	*
1354	柏南	在事情发生前，	STANDARD	NONE	1355	0	*
1355	柏南	总是很难理解预言的意思。	STANDARD	NONE	1356	0	*
1356	柏南	即使看着不可能的事，	STANDARD	NONE	1357	0	*
1357	柏南	最后也会按照某种方式进行下去。	STANDARD	NONE	1358	0	*
1358	柏南	根须离土。	STANDARD	NONE	1359	0	*
1359	柏南	也许要等到未来，	STANDARD	NONE	1360	0	*
1360	柏南	才知道说的是什么根。	STANDARD	NONE	1361	0	*
1361	柏南	我也在等待这样一个，命定的归宿。	STANDARD	END	0	0	*
1362	柏南	不一定。	STANDARD	NONE	1363	0	*
1363	柏南	对土来说，	STANDARD	NONE	1364	0	*
1364	柏南	根须离开，养分就此属于自己。	STANDARD	NONE	1365	0	*
1365	柏南	虽然土本身不需要土地。	STANDARD	NONE	1366	0	*
1366	柏南	对根须来说。	STANDARD	NONE	1367	0	*
1367	柏南	也许是第一次知道，	STANDARD	NONE	1368	0	*
1368	柏南	自己曾经被什么抱住。	STANDARD	NONE	1369	0	*
1369	柏南	最后又如何决绝地离开这个抱住过自己的地方。	STANDARD	NONE	1370	0	*
1370	柏南	好坏要等很久以后才看得清。	STANDARD	NONE	1371	0	*
1371	柏南	签只负责把事说出来。	STANDARD	END	0	0	*
1372	小淼	画了一天了，终于可以回家了。	STANDARD	BEGIN	1373	0	*
1373	小淼	送我回四楼吧。	STANDARD	NONE	1374;1375	0	*
1374	玩家	今天绘本怎么样。	SELECT	NONE	1376	0	*
1375	玩家	好的。	SELECT	NONE	0	0	*
1376	小淼	根据编辑给我的建议。	STANDARD	NONE	1377	0	*
